date,stars,target,text
07-Jun-17,5,Positive,I never.felt to use any equalizer because sound quality is super. Material quality is also good wires are hard and if you can see it will be well for ears those who have problem that earphones does not.fit to ears.just forget and try this. At last trending pubg sound quality is also good and clear. Durable I'm not supposed to tell this because using since few days only.
01-Sep-17,5,Positive,"Great build quality of the wire and definitely it is tangle free..!! Packaging by with Amazon and the Ant Audio casing was great. The box, the three earpieces, the earphones, the warranty card, the stickers are truly great...!! The price is just 600/-. I mean its really really cheap for such an amazing set of earphones....!! Don’t think twice before buying it....just go for it...!!"
03-Sep-17,5,Positive,"I order ant W56 on 26th DEC 2018 from Amazon flash sale for 499 RS. I listened indhira logathu song from 2.O (a tamil movie) in musicolet app.(we can boost bass in this app) probably, you guys know that, we usually check the quality of any headset with Rahman songs only (even we"
05-Sep-17,5,Positive,i used to get pain in ears or some irritation if i continuously use the above headset. (i never used boat brand headset. so i don't know about that). personally i have recommended w56.
06-Sep-17,5,Positive,"Well well well this brand ant audio firstly I was confused that this is UK brand what will be the after sales services and how the product will be but after purchasing the product it totally changed my perception. I have tried different brand like sound magic,boss,jbl. But this earphones sound quality above all bass and treble are just completely perfect. "
20-Oct-17,5,Positive,"You can also get a pair of silicone earphone hooks from aliexpress for the same price itself, for added stability. I started to experience the true potential of this headphone only after using the foam earbuds. The VOLUME, BASS and NOISE CANCELLATION are awesome. The cable quality is also good. Blindly got for it. THIS CAN ALSO BE USED BY ANYONE WHO IS NEW TO EARBUDS JUST LIKE ME, PROVIDED YOU GET THE FOAM EARBUDS."
01-Jan-18,4,Positive,"Best for gaming purpose because of low bass and good quality of sound, noise cancellation is pretty decent does it's job properly. Overall quality of the wire is good, but the ear bud rubber is kind of cheap quality. 4.5 out of 5"
03-Jan-18,2,Negative,This earphones are good i used it before but and its durable too but when i odered this i got defective piece then i replaced it but again i got defective peace so first check the product properly
26-Jan-18,4,Negative,"Physical overview: Earphones are strong and long lasting.

""""""""""For calls: Mic is not that good you have to keep it near to your mouth in order to be audible to the other person(not suitable for making calls when your out, other wise acceptable).""""""""""----i too was not aware of this fact even reading so many reviews so don't skip it and have a look.

Sound quality: You will experience a nice hd sound quality . In full volumes also there are no vibrations in the earphones.Specially Good for English songs. It gives a balanced bass and treble. Very comfortable sound you can tolerate for longer periods.

Ear bud Quality: Ear buds are of very poor quality won't stay in the ears for longer you have to keep on tightening it. During sweat they will easily slip."
12-Feb-18,4,Positive,"Though bass is a little bit higher than usual, but it delivers good quality and clear sound output. Extreme bass lovers will be happy with this product. Voice clarity is very good but treble is little bit muffled as it is expected because of high bass. Overall very good quality of cable and earpiece, if used with care it can last really long time."
16-Feb-18,2,Negative,"But after 2 months again mic, controller and connecter failed. The propable cause for the failure of mic might be due to sweat, as I sweat a lot. But they claim it is sweat proof. "
26-Feb-18,2,Negative,I like the head set and the bass is excellent but if you are speaking someone through the head set they hearing some disturbance noices...i order this headset twice..but each head set life is less than a year...
05-Mar-18,4,Positive,"For rs450 it's good,dont go for it when it's above rs500 as infinity zip100 is there at 550.
Bass quality is really good
Vocals are also adequately clear
Treble part is not good and instrumental separation is average

Some r saying it has harsh treble part, that's a complete misjudge,treble is not good where is harsh sound

Fieldspace(how wide your sound stage)is narrow(though it can handle pubg movements)

Build quality is excellent

Mic is descent

Edm,Bollywood upbeat songs are good to listen in it(songs with more instrumentals are not preferable in this)

Now i dont know its longivity,will post it later"
17-Apr-18,4,Positive,It is an awesome earphone in this price range.... If you have used boat earphone....i would say it's somewhat similar. The bass is damn good. And I have used senheiser earphone earlier..... I will say this earphone has better bass than senheiser..... If you love bass I will recommend you to go for it. I know you will be more confused looking at the reviews and all and would probably think should I buy it or not...... I was confused too. I decided to buy it. Received it with a nice package and the bass I really love.
11-May-18,2,Negative,"Sound quality bahut jada bekar hai or build quality us se bhi bekar hai . Dont buy
"
12-May-18,2,Negative,"I have ordered 7 units of ant sudio uptil now. My recent purchase was a piculiar incident. Whether it is quality issues or the muddy lows with sharp pitch. Literally my hearing was affected. So i decided to spend 100 more... Go to flipkart and brought the new earphone. M so happy...
"
29-May-18,2,Negative,After 3 months of using the rightside of the earphones stopped working. Just for returning it 😒 ...which I could have purchase other earphones for the same price.
10-Jun-18,4,Positive,sound quality is good but build quality is cheaper then older one. older have a much better build quality . but anyways sound quality is equal and good .
11-Jun-18,5,Positive,"This is one of the best mid range headphones it bought till date. Bass is awesome, noise cancellation is good compared to the price point. Good for listening Rock, Hiphop and pop genres. Don't buy this if you are a classical /country lover.There is a metal box provided with this box, 4 different pieces of ear buds.The most useable things in this headphone is built in mic.Wire is tangle free, so no need to worry about."
12-Jun-18,4,Negative,"This earphone is great in this price range, great sound quality, nice bass and excellent noise cancellation but build quality is poor. You will have to handle it with delicate care if you want it to last long. Not for continuous travelling or rough use. You can use it at home. I would suggest you to buy it only if you normally stay at home and don't travel too much."
25-Jun-18,4,Positive,"The package is just a blast. You get a bundle of things within. A tin case containing earphones, some stickers, a carrying case(which I did'nt got).
Coming to the built quality, the earbuds are made of metal and the aesthetics are good. The cable is flat making it tangle free for most of the time and is of good quality.
The sound is pretty much good but the bass is decent. Lows and mids are clear no doubt. But if you are a bass lover go for cx180 or JBL series or boat 225.
Customized setting on music players might give you better results.
Outside noise cancelling is achieved only when the volume is near 70%.
Overall they are worth the penny.
Even more you will like those fancy stickers they offer"
26-Jun-18,4,Positive,"Love the clear sounds, I like every little sounds you hear on this earphones and highs too!"
28-Jun-18,2,Negative,"One side of earphone is not working after few months and after that microphone not working
"
08-Jul-18,2,Negative,"The in-ear cups of this earphones have the flexible structure and are equipped with high-quality sound delivering technology
Philips SHE5305 is much much better option than this,,,....."
08-Aug-18,4,Positive,(Bought on 6 Jan 2019) I enjoyed using these earphones and I don't use my earphones only for music. I also watch movies/YouTube/podcasts also so I dont like super boomy base which compromises mids and lows. These earphones were balanced with good amount of base. Build quality is good and these are amongst very few earphones that lasted more than a year with me (started making echoey noise on 16 Jan 2020.)
09-Aug-18,2,Negative,I'd recommend buying any other earphone in this price range but this one. This earphone is very unsatisfactory. Fit is the worst. sound quality is okay. Not worth it imo.
11-Aug-18,2,Negative,"One side of my earphone stopped working properly like in 5 days of buying it after 2 days it totally stopped . The sound quality and the bass was good .
"
15-Aug-18,4,Negative,"Bought it a year ago, initially it was working fine, i am not a music lover. I was using it only for meetings and calls.
But after 6 months it stopped working.

Warranty claim procedure is tedious as you have to register and log a ticket to acroma on their website.
than you have to take a ticket letter print which you will get on mail after raising complaint and than send product to them at ur cost with product.

Better check other options also in same range."
20-Aug-18,2,Negative,"I'm disappointed. I expected good quality from this product but nope.
-Noise cancellation is bad
-Sound quality is not fine"
26-Aug-18,2,Negative,If you want 'clarity' at a really low price then you will be much happier with the Samsung ehs64 than these.
10-Sep-18,1,Negative," Within few days of usage, it became absolutely useless. Whenever I connect it with my MI-y1 mobile, it starts malfunctioning. While I run any media (YouTube, Netflix, Amazon Prime Video, Gaana.com, Wynk Music etc.) Volume control of the mobile starts jumping up & down without any reason, Google assistance opens up automatically and the running media pauses. "
24-Sep-18,4,Positive,"I bought it for 555. At this price this is really a good bargain! Quality of the product is good. However bass is too much. If you are a high bass lover then you'll definitely love it. But if you want to hear everything balanced. Then it might not be your taste.
But at this price I would say this is a good deal.
Pros-
1. Tangle free
2. Durable
3. Good packaging (comes with a case)
4. Heavy bass.

Cons-
1. Sounds are not clear due to extra bass.
2. You won't find that many ant audio stores. Thus if anything happens, it will be difficult to get it fixed or replaced."
26-Sep-18,5,Positive,Amazing headphones I was sceptical at first considering i have never heard about the brand but i took my leap of faith and boy was it worth it the earphones are phenomenal. The audio quality is just crystal clear no muddling even at high volumes the mids were clear the high were not dead the bass was there but not overpowering
27-Sep-18,5,Positive,"These earphones are simply great...!! Do not even think twice before ordering. Amazon delivered it to me in free 1 day delivery through Prime.  Great sound...Amazing bass and treble balance for listening to all kinds of music. From EDM to soufi songs you can enjoy every single type...!!!
The wire length is truly amazing. Its really really lengthy so u can easily use it with a PC that is located at an arms distance."
28-Sep-18,2,Negative,"I don't even know whom to approach. I filled in a form online and there has been no response since
"
29-Sep-18,2,Negative,"1st if you gonna buy this for its metallic case and stickers then don't buy it nothing was there in my product.
"
29-Sep-18,4,Positive,Build quality wise this earphone is quite good with metallic build and good quality flat cables. Mic in this earphone is also good. It's provide good clear noiseless sound. Now comes to sound quality which is quite good considering the price. It's provide very good sound with good amount of bass. It's not too high though. Still Sound is clear and loud enough and it's definitely better than previous W55. So finally should you buy this. I'd say yes. It won't fall off easily while running or using in the gym. So it's very good fit for fitness enthusiasts. It produces very good sound in this budget which is loud enough and have good enough bass but not too high to overshadowed vocals.
04-Oct-18,2,Negative,Great sound but does not last long. Stopped working within warranty period got the replacement that also lasted only one month.
06-Oct-18,2,Negative,"I am reviewing this product after using it for 4 months. First i bought it, mic and audio control failed to work just within 3 days. I got it replaced within 10 days with a new pair."
10-Oct-18,4,Positive,"Over all great product for this price
Fully satisfied with this product but they need to improve vocal for hearing YouTube content and bass should be improved Little bit."
26-Oct-18,2,Negative,"The sound quality is good same as the other product in this range, but the product design is very bad. Metal earbuds are too much heavy and the rubber clips are very much loose. The earbuds are coming down most of the time & few times I almost loose those rubber clips."
26-Oct-18,4,Negative,"I liked the earphone but one thing is tht if u listen to full volume the sound is not upto the mark and not clearly audible.
The bass is very good and and the noise cancellation is very good...
But one thing is tht it is 'Made in China' product.
And in call the other person cannot hear me clearly don't know y but m not tht much satisfied with the product at which it is available...
In my opinion JBL woulb be a perfect choice."
28-Oct-18,2,Negative,sound ok but ear piece got broken in 6 days. Seems like it is made of poor plastic quality
10-Nov-18,1,Negative,"Earphone sound quality is very bad. when you hear any song it will painful for your ears. Cant fit in your ear, i tried with many my friends.It always falls down.Microphone quality is very bad."
10-Nov-18,5,Positive,"I'm online shopper and not a frequent reviewer. But as a choosy buyer, after analysing for earphones on different brands on budget ₹500 I opted at last for this item. This mind blowing product force me to write this review. Dear music lovers, if your budget is under ₹500 this product is the best just go for it. You'll never find better than this product at this ranges. Tangle free, soothing sounds, noise cancelling, and packaging is really commendable."
22-Nov-18,1,Negative,while wearing helmet they become truly Uncomfortable as I like to put earphones on while driving.
28-Nov-18,4,Negative,"Sound is quite bassy but not such deep bass,vocals are suppressed and at higher volume shrillness cause harse and pain in ear,metal earbud is feels heavy,eartip and wire quality is cheap not reliable,don't expect too much Boult loop<antaudio w56<realme buds 2"
02-Dec-18,2,Negative,I have used this earphone for 5 months and replaced it two times. Its durability is not good as I used their earphones two time and both times it made a blurry sound afer a max 2-3 months of use.
15-Dec-18,4,Positive,"I've been using earphones for more than a decade now and have had Several, Panasonic, Sony and, Skullcandy. This one was not for me but a friend. And since I'm an audiophile, I prefer power output in terms of dB. Without a doubt this one is good by far but if I compare it with others, Skullcandy Smoking Buds 2 and Sennheiser cx 180 are a better option than this.

The issue with Ant Audio earphone is that it doesn't deliver that much of bass. It has clarity but nothing like Skullcandy or Sennheiser and that's my choice above all."
17-Dec-18,4,Positive,"I am using this earphone over 1.5 year,
Still overall quality is best in this segment.
Believe me you would not get better performance in this segment,
In one word it is best.
I am also using boat bassheas 225, it is heavy in weight but you can consider.
I have also claimed warranty once,
Customer service is also good."
18-Dec-18,2,Negative,"Even if this is tangle free device. But still it used to tangle. I faced the regular headphone issue, one side down while other working..
"
23-Dec-18,2,Negative,"Most Irritating Sound Ever.
I have used JBL C150SI, JBL C200SI, 1More Piston and Boat Basshead 100(Rs399) in the past. Coming to Ant Audio W56
 Flat Tangled Cable
Only Bass that too Over Powered. It starts
to distort even at 50% Volume even for
320KBPS Songs."
25-Dec-18,2,Negative,"I would be more happy to use if the ear tips were comfortable.
Bad product"
27-Dec-18,4,Positive,Very good quality earphones. However they could attract customers more if they could provide a case like previously they did. Though they cut the cost of metal case to improve the quality of earphones but in this price range many earphones are available and if ANT Audio wants to increase their market value they should do something exceptional.
04-Jan-19,5,Positive,"Build quality is amazing. Earbuds are tilted at 45° so they doesn't get off from ears easily. Wire is flat and tangle free and it's very strong. Audio jack is at 90° and also gold plated. sound is one of the best part of this earphones. These Earphones comes with a superb bass experience. And the best part is it synchronises with low and highs. You get to hear each part of the music perfectly. Left and right sound detection is great when it comes to playing pubg. Vocals are also perfect. In final, these are the best earphones at this price range. Much much better than senheiser cx180 and JBL."
13-Jan-19,1,Negative,"The build quality is solid, call quality is good, but, and this is a big one, there is a persistent static noise at lower volumes in this earphone. I don't listen to music on very loud volumes and usually listen to everything on volume level one. It is highly distracting therefore to have constant buzzing which starts as soon as you start to play anything and lingers for a while after the music has stopped. "
13-Jan-19,4,Negative,"Every thing is nice in this product, the box is really good and strong even I am using this(box) perfectly after 1.5 months though the earphones are not working now and I am now shifted to realme buds 2. The earphones worked very well for 5 months but afterwards left earpiece stopped working and after 4 more months the right one also did the same thing and then it was of no use and complete waste for me. But it was worth buying because of that good quality box with it."
17-Jan-19,5,Positive,"This is the best earphone one can buy.. material quality, design are superb. Sound quality is phenomenal.. and d packaging.. wat shud i say.. u cant imagine that a 500rs earphone can have a packaging like dat.. u won't just love the earphone u will hold onto d packaging too.. "
21-Jan-19,4,Negative,The seal was already broken . And it's looking like second hand
23-Jan-19,1,Negative,I saw these earphones were available for 500 bucks and reading all the good reviews i just picked it up. These are just junk. Please don't waste your money on this product. The sound quality is extremely bad the mids highs and lows sound like three different parts making any song sound like sh*t.
25-Jan-19,5,Positive,Overall nice ear phone at this price range and quality of the earphones were awesome. I can recommend these earphones to all type of users....
28-Jan-19,1,Negative,Got this product delivered by amazon on 11-01-2019. My one side ear phone stopped within 16 days. Unfortunately I am unable to return the product. Now I have raised a warrenty claim. Worst part is service center in Delhi hence I have to courier the product to get it REPAIRED. 
12-Feb-19,1,Negative,The worst product ever..... One side ear stopped working in just 5 months .... Though its in warranty period i registered the complain in the website as well as i called the no. Which is goven below in warranty information...... But that stupid fellow never picks up the phone ..... Complete waste of money
13-Feb-19,2,Negative,Most amazing part is they can reject you claim after they receive your product. Basically you might lose you 150-200/- more and will get nothing.
15-Feb-19,4,Negative,Don't buy after 3 months it will not work
06-Mar-19,2,Negative,"Realme products are much better than this and which are available in similar price range.
"
07-Mar-19,1,Negative," Noticeable difference in weight and overall build quality than older ones. Tip of the right earbud just fall off after one week. Audio quality has dropped significantly compared to older versions of the same model, with no punchier bass, and clear sound separation."
18-Mar-19,2,Negative,"no bass
-tinny sound
if you love bass and depth in your music buy skullcandy they never disappoint"
21-Mar-19,2,Negative,I was using Skullcandy Smokin Buds 2 for the last one year and when they stopped working my friend suggested me to buy these and let me tell you after using skullcandy earphones these sounded like total crap.
22-Mar-19,1,Negative,"After using 2 months the microphone stop working, I bought this product after going through the reviews on YouTube but i did not satisfy with the product sound is quite heavy aftet listening music for some time your ear starts paining"
24-Mar-19,1,Negative,No shipping service from company when earphones get any fault mine one get one earplug low sound after 15 days of use.i don't know whether they changed this policy or not
25-Mar-19,2,Negative,"the most important part Costumer disappoints in the first place with its packaging. Noise cancellation is cheap, sound quality is just average, and bass is high. I had very high expectations on this after seeing many reviews in YouTube."
27-Mar-19,1,Negative,It was working fine and the sound quality was good initially but after one month the right ear piece started producing distortion while playing music or while playing movie. Moreover there is no response from the company when i raised a complaint about the faulty headphone i had received. 
27-Mar-19,2,Negative,Stopped working after 3 weeks. And also misfunctions a lot. Terrible product
12-Apr-19,4,Negative,Got the product on correct date.But packaging was very bad.The amazon cover had a hole when i recieved it.Like someone did it to know what is inside..The earphone was in a steel type box.but the wire was jammed in between the steel box. Resulted in making a jammed mark on the earphone wire.Was afraid about this .but when i tested the earphone it was working.Earphone looks good. Was disappointed in the packaging and handling of the product.
19-Apr-19,4,Positive,"Purchased in 2019, still sounds great except the mic got spoiled. But in terms of sound quality, this is the best I've used in this price range. I have used Boult loop, Boat 103 bassheads and have to say that this is the best I've used till date. Sound is dynamic, bassy and has depth into it, like its coming from a large room."
26-Apr-19,1,Negative,"The sad thing of that headphone is, it's wire break from the mic in a 10 days. Very bad build quality of product and very low bass quality in this price range. The company only marketing that product by a different colors and attractive packaging otherwise the product is totally waste. Please don't fool by seeing the other people's high rated review. "
26-Apr-19,4,Positive,"I bought this(green colour) in nov 2020(delivered on 6th nov)..
Earphones are value for money.

My review on build and sound quality :-
1. Build quality - I liked it, easy to put in ear and wire seems to be tangle free. If you are on bed in sleeping position, just be a little careful while turning your side as buds are medium in size not as small as senhizer cx 180 but still comfortable if not used harshly.
Appropriate for the price.
Wire - 9/10
Ear fitting - 8/10

2. Sound quality - One will experience awesome sound if the device supports dloby atmos as bass is finely tuned. So this earphone is one of the best with dolby atmos, all you need is a basic google music player and dolby atmos as equaliser, cheers!!
Bass - 9/10
Noise cancellation - 8/10
Sound quality - 8.5/10

Overall this product is value for money and it's comes 2nd in my list after senhizer cx180 if the budget is below 800rs."
27-Apr-19,4,Positive,"Sound quality is good not best for those who want all sound equally balanced i.e bass, mid, and treble.
For gamer and musicians it ok ok type."
28-Apr-19,5,Positive,Dont confuse sound isolation for cancellation it has amazing isolation and the sound is good suitable for most uses .Cons- Very delicate wire quality needs to be handled with care.
07-May-19,1,Negative,Last time I gave 5* now I'm taking back to *is not worthy! Previously I used BOAT I THINK THOSE ARE BETTER THAN THIS!!
14-May-19,1,Negative,It's pathetic!!! It's just 3 months I have bought this earphones..and one head phone is not working.. It has one year of Warranty and from last 2 weeks I am trying to get through the ant audio issue related available contact via calls and messages on WhatsApp bt there is no response and guidance!!!!
15-May-19,2,Negative,"If you're some schmuck who just loves having tinnitus-inducing levels of ""extra bass"" then you should go for these."
17-May-19,5,Positive,I love the sound quality this earphone provides. The bass in this one is too damn good. Manages to cancel noise to a great extent. I'd recommend this to those who're looking for quality earphones within the economic price range. I have been using this only for two weeks so I can't comment on the durability of this product so I would suggest to everyone to check the other 
20-May-19,1,Negative,"I have been using this headphone with care but eventually, one of the speakers is no longer working. It's like if I wiggle the wire, it will work but not for long. These headphones really don't even have a year of life span. At the end of the day, you're just paying pretty pricey! Never ever gonna try to buy again from this company. "
24-May-19,4,Positive,"Just received my 3rd ant audio earphone.The first one worked fine but ultimately it's microphone stopped working (maybe due to it's use in gym) after a few months. It was easily replaced by the company,thanks to the one year warranty but still the microphone had the same fate.Would recommend the company to improve the microphone's durability.
Otherwise in terms of sound quality,it stands out for its price. Brands like Sony,JBL,Boat doesn't match up when it comes to such audio quality at such a competitive price."
24-May-19,4,Positive,"It is a good product with nice sound quality and noise cancellation and good bass
But the thing is the wire is totally tangled at the time of delivery and I feel a bit delicate which can be torn off
Finally worthy product"
24-May-19,5,Positive,"This is one of the best mid range headphones it bought till date. Bass is awesome, noise cancellation is good compared to the price point. Good for listening Rock, Hiphop and pop genres. Don't buy this if you are a classical /country lover."
25-May-19,1,Negative,"I have purchased after seeing the reviews but ""please don't believe in reviews"", I think people who has given good reviews they have not seen so many headphones under this price range or they really don't know how performance is to be for this price range, it has no bass ,poor sound quality, it has only high volume I think most of the people miss under stood the difference between high bass and high volume.."
26-May-19,5,Positive,I love how good this is at noise canceling. The sound quality is just too good. Never thought a 500rs headphones can be this good. The bass as well is amazing. You get this in a nice little box with a sheet of stickers you can put on your phone or other devices. You also get different sizes of ear buds. There’s a rubbery loop which you can put under to prevent headphones from falling out of the ear. Very good feature since I always hated headphones like this because of how frequently they fell out.
31-May-19,5,Positive,"The product I received was the best in ear phones. I have used JBL, Senheiser, Boat, Beats, Philips, Remax and a few more. Though I was compromised with performance.. but the ANT AUDIO is the one which satisfied my desire for the search of BASS HEAD EAR PHONES. Absolute Noise Cancellation, High Definition Sound Quality with any music android music playe"
01-Jun-19,5,Positive,"I am writing this review after one month of usage. Oh man! What a sound.T his is literally feeling like in heaven. This one beats every other in ear earphones available in the market in terms of Bass. No other ear phone matches the sound quality alongside huge thumping bass they are allowed to produce.If you want an earphone with high bass but not compromising on sound quality ,then this is the one for you. This beats Boat 225 in terms of sound quality whereas both stands equal in Bass terms."
03-Jun-19,1,Negative,"Earbuds keep falling out of ear even when walking forget going running with these on. It has issues with mic as well as the person on other side can't hear me properly. This piece is of no use for me , you seller/ Amazon why would you give me an option to get the same piece again instead of refund. "
14-Jun-19,1,Negative,Worst Product Ever !!! First Time I Got Earphone Broken from one side. Then When I applied for Replacement ...I got It Next Day after My Request and One Side Stopped Working After 10 days
17-Jun-19,2,Negative,"You won't be able to use this for one month. Very low build quality. Earpiece broke when I tried to change buds. Mic is not working in laptop. Trust me, don't buy this."
19-Jun-19,1,Negative,"I bought this costly headset for almost 600+ rupees but it didn't satisfy my expectations. Even it didn't satisfy common expectations. I used it while playing Pubg, it totally sucked. Because no one else can hear me speaking through it. The microphone is not good in receiving my audio. "
28-Jun-19,2,Negative,"Bass is loud and clear. Sound quality is not bad but the pain is intense for me.
"
02-Jul-19,5,Positive,The sound is really good nice and punchier bass durability is amazing for ruf use I play Pubg a lot on it and must say the surround sound you can easily spot ememy lisent music and stream YouTube videos it's very good in fact amazing on this earphones no pain no nothing I am giving this review after 9 months of usage and still going on good I am not promoting this product it's just feedback for to decide for others to buy this this earphones or not enjoy .
09-Jul-19,4,Positive,I gave overall rating 4 because they have mentioned that we will receive the earphones in metal box but I received in a damaged paper box!!! Earphones is actually really good... It's worth one I have been using it for almost 1month and there is no issue
11-Jul-19,1,Negative,Please don’t buy this as it stopped working after couple of months. 
13-Jul-19,5,Positive,"bought this inear for Rs 600. In this range this earphone is surprisingly amazing. The sound quality is great even in highs. I wonder that any other brand offer noise cancellation in this range. The noise cancellation is around 60-70%, but is great for me that I’m not completely isolated from this planet. Only problem I met is comfort. The earphone is not sitting well inside my ears. Also getting little ear pain."
15-Jul-19,4,Positive,"good sound quality,
great design,
better material.
it comes in a metal box with a pouch and extra 2 pairs of different sized buds.
only this I dont understand is why those 2 hanger type arrangement to the earphones, which is little uncomfortable.
Rest of the things are very nice as I mentioned earlier.
Previously I used Boat 220 for almost 2years, with which I was fully satisfied. Now this set is also exactly the same design with even better quality of sound. So I dont find any Negatives to mention. I hope this set will also be as durable as my earlier one.
Thank you!"
21-Jul-19,5,Positive,"These earphones are priced high, worth is not more than Rs 400.00. They have good sound quality, no noise cancelation, but the bass quality is good. If there is a lightening deal and drops by Rs 150.00 then you should buy not one but ,the other for backup. The earphones do not fall out of the ear."
23-Jul-19,1,Negative,I read the reviews before buying but still went for the product. Many of the reviews told that the left earpiece got problems within weeks of use. For me the same issue happened.
26-Jul-19,2,Negative,Fake alert. This seems to be a fake product with bad packaging and bad design
26-Jul-19,5,Positive,The product came in a very well packing. Seller provides gift stickers which are pretty cool. The quality of the product is really good. The sound quality you get at this price is incomparable to any other brand. Its a must buy earphones for all the people who likes to listen to the high end songs with crystal clear bass. I just simply loved this product. Five Stars
28-Jul-19,4,Positive,"I was hesitant to order it first as i was not aware of the brand Ant Audio.
I am glad i ordered these headphones.
Superb built quality, with better sound (bass). I dont even have to keep it on full volume.
Earbuds feel a bit heavy for the ears if you are hearing music or watching movies for longer time
The Audio Controls work perfectly with my Iphone 8+ but gives me some trouble with MI A1, the next or previous track selection doesnt work. I didn't test it with any other android mobile.
Call receive/disconnect works fine on both mobiles. Sound is crystal clear. Overall happy with these.
No other issues as of now."
04-Aug-19,2,Negative,One side of the earphones stopped working. Pathetic quality
05-Aug-19,5,Positive,"The product is too good. The quality of earphone is Awsome. I'm used this earphone in a rough manner but it didn't damaged. The wire quality is superb, almost it doesn't get tangled. "
07-Aug-19,4,Positive,Simply i will say if you want an earphone for a very long run then just go for it. Cuz if an earphone sounds insane but have poor built quality then there is no sense. Also its sound quality is good and the bass is also there and you will feel the bass when there is need not like other earphones which produces bass all time without any need. Sound of these earphones is balanced and the built quality is insane.
17-Aug-19,2,Negative,Slippy from ears always
18-Aug-19,2,Positive,These have good sound quality and properly catch beats but the worst thing about this is noise cancellation....
19-Aug-19,1,Negative,"Warranty claim is a hectic procedure. It takes 5-6 days to get warranty claim approval itself. After approval, Customer is supposed to send product to service centre at their own cost. Don't know how much time may take to repair or replace and then shipping back to customer."
21-Aug-19,2,Negative,Only music is hearing not the voice.
26-Aug-19,2,Negative,The left earbud stopped working after 2 days got it exchange
29-Aug-19,1,Negative,"right ear phone fluttering, only the ''right'' earphone , when connected to laptop and listening to bass tracks(bass is why i got this is for), besides received the main metal container after it has gone through multiple dents! kindly give care for packaging amazon! that would be deeply appreciated!!"
30-Aug-19,2,Negative,That's no bass and loss my money this product worst bass clearity
30-Aug-19,2,Positive,Sound quality is awesome but not for sports
01-Sep-19,2,Negative,not able to hear any voices in the right earbuds. and the sound is muffled.after just 15 days of daily use. very bad quality.
02-Sep-19,1,Negative,If you face any problem with the headset you are on your own. There is no support or service facility available in India. I myself couriered the product to their said service centre in Delhi but there was nothing from their side. The phone number is also inactive. Otherwise the product is good in terms of bass and overall quality.
07-Sep-19,2,Negative,"This earphone has sound and bass of very good quality,but durability is really very low.One earphone stopped working correctly only in few weeks.Would never buy this again."
07-Sep-19,2,Negative,Not fit in ear
07-Sep-19,2,Negative,Bad
08-Sep-19,2,Positive,"Sounds great and bass quality is also good. But the build quality is just ok. Better one is boats I think. The left side earplug starts crackling and cutting sound whenever the wire is shakes or the connector shakes. Need replacement of product.
If the new one feels good experience sure I will re edit the review"
10-Sep-19,2,Negative,Voice clarity is Good but it does not fit in ear properly. Speakers fall down due to its heavy weight wire.
